6239 = number of voxels
2 = number of ROIs
X-MNI,Y-MNI,Z-MNI,Lobe,Structure,Brodmann area,ROI-number [1...2] (if zero then not included in any ROI)
-40,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-40,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-40,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,0
-35,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-35,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-35,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,0
-30,-5,-45,Limbic Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-30,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-30,10,-45,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
-25,0,-45,Limbic Lobe,Uncus,Brodmann area 20,0
-25,5,-45,Limbic Lobe,Uncus,Brodmann area 38,0
25,0,-45,Limbic Lobe,Uncus,Brodmann area 20,0
25,5,-45,Limbic Lobe,Uncus,Brodmann area 38,0
25,10,-45,Temporal Lobe,*,Brodmann area 38,0
30,-5,-45,Limbic Lobe,Uncus,Brodmann area 20,0
30,0,-45,Limbic Lobe,Uncus,Brodmann area 20,0
35,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
35,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
35,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,0
35,10,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,0
35,15,-45,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
40,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
40,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
40,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,0
40,10,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,0
45,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,0
-55,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-50,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-50,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-50,0,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-50,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,0
-45,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-45,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-45,0,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-45,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,0
-45,10,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,0
-40,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-40,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-40,0,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,0
-40,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,0
-40,10,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,0
-40,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
-35,-10,-40,Limbic Lobe,Uncus,Brodmann area 20,0
-35,10,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
-35,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
-30,-10,-40,Limbic Lobe,Uncus,Brodmann area 20,0
-30,-5,-40,Limbic Lobe,Uncus,Brodmann area 20,0
-30,0,-40,Limbic Lobe,Uncus,Brodmann area 20,0
-30,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
-25,-5,-40,Limbic Lobe,Uncus,Brodmann area 36,0
-25,0,-40,Limbic Lobe,Uncus,Brodmann area 20,0
-25,5,-40,Limbic Lobe,Uncus,Brodmann area 38,0
-25,10,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
-25,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
-20,0,-40,Limbic Lobe,Uncus,Brodmann area 36,0
-20,5,-40,Limbic Lobe,Uncus,Brodmann area 38,0
20,5,-40,Limbic Lobe,Uncus,Brodmann area 38,0
20,10,-40,Limbic Lobe,Uncus,Brodmann area 38,0
25,-5,-40,Limbic Lobe,Uncus,Brodmann area 36,0
25,0,-40,Limbic Lobe,Uncus,Brodmann area 36,0
25,5,-40,Limbic Lobe,Uncus,Brodmann area 38,0
25,10,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
25,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
30,-5,-40,Limbic Lobe,Uncus,Brodmann area 20,0
30,0,-40,Limbic Lobe,Uncus,Brodmann area 20,0
30,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
30,20,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
35,-10,-40,Limbic Lobe,Uncus,Brodmann area 20,0
35,-5,-40,Limbic Lobe,Uncus,Brodmann area 20,0
35,10,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
35,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
35,20,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
40,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
40,-5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,0
40,0,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
40,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,0
40,10,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,0
40,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
45,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
45,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
45,0,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,0
45,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,0
45,10,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,0
50,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
50,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
50,0,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
